url,pub_date,source,year,month,topic
http://www.foxnews.com/world/2018/07/24/9-australians-awarded-bravery-medals-for-thai-cave-rescue.html,2018-07-24,Fox News,2018.0,7.0,0
http://www.foxnews.com/world/2018/07/23/latest-greece-declares-emergency-due-to-2-wildfires.html,2018-07-23,Fox News,2018.0,7.0,0
http://www.foxnews.com/world/2018/07/23/residents-flee-forest-fire-near-greek-capital-athens.html,2018-07-23,Fox News,2018.0,7.0,0
http://www.foxnews.com/world/2018/07/21/africa-sees-1st-carbon-neutral-brewery-amid-climate-concerns.html,2018-07-21,Fox News,2018.0,7.0,1
http://www.foxnews.com/world/2018/07/20/human-rights-watch-urges-brazil-to-regulate-pesticides-more.html,2018-07-20,Fox News,2018.0,7.0,0
http://www.foxnews.com/world/2018/07/20/thailand-seeks-control-over-movies-about-cave-ordeal.html,2018-07-20,Fox News,2018.0,7.0,0
http://www.foxnews.com/world/2018/07/17/rights-groups-urges-myanmar-to-make-amends-for-seized-land.html,2018-07-17,Fox News,2018.0,7.0,0
http://www.foxnews.com/world/2018/07/16/un-envoy-1-1-billion-people-face-risks-from-lack-cooling.html,2018-07-16,Fox News,2018.0,7.0,2
http://www.foxnews.com/world/2018/07/14/thailand-cave-rescue-boys-thank-rescuers-admit-are-craving-pork-rice-and-kfc.html,2018-07-14,Fox News,2018.0,7.0,0
http://www.foxnews.com/world/2018/07/14/10000-protest-trump-in-edinburgh-uk-police-seek-paraglider.html,2018-07-14,Fox News,2018.0,7.0,3
http://www.foxnews.com/world/2018/07/13/7-endangered-rhinos-die-in-kenya-relocation-bid-official.html,2018-07-13,Fox News,2018.0,7.0,0
http://www.foxnews.com/world/2018/07/13/8-endangered-black-rhinos-found-dead-in-kenya-officials-say-its-complete-disaster.html,2018-07-13,Fox News,2018.0,7.0,0
http://www.foxnews.com/world/2018/07/13/boys-meant-to-stay-1-hour-in-cave-but-outside-rains-began.html,2018-07-13,Fox News,2018.0,7.0,0
http://www.foxnews.com/world/2018/07/12/mission-accomplished-and-boys-healthy-rescuers-head-home.html,2018-07-12,Fox News,2018.0,7.0,0
http://www.foxnews.com/world/2018/07/11/african-woman-tells-un-that-climate-change-is-security-risk.html,2018-07-11,Fox News,2018.0,7.0,1
http://www.foxnews.com/world/2018/07/11/rescued-thai-boys-make-victory-signs-from-hospital-beds.html,2018-07-11,Fox News,2018.0,7.0,0
http://www.foxnews.com/world/2018/07/11/nato-allies-offer-trainers-seek-to-set-disputes-aside.html,2018-07-11,Fox News,2018.0,7.0,3
http://www.foxnews.com/world/2018/07/11/ap-interview-us-rescuer-details-high-risk-thai-cave-mission.html,2018-07-11,Fox News,2018.0,7.0,0
http://www.foxnews.com/world/2018/07/11/coffee-and-conservation-mozambique-tries-both-on-mountain.html,2018-07-11,Fox News,2018.0,7.0,0
http://www.foxnews.com/world/2018/07/11/latest-thai-pm-thanks-people-involved-in-cave-rescue.html,2018-07-11,Fox News,2018.0,7.0,0
http://www.foxnews.com/world/2018/07/10/rescued-thai-soccer-team-unable-to-attend-world-cup-final.html,2018-07-10,Fox News,2018.0,7.0,0
http://www.foxnews.com/world/2018/07/10/australian-rangers-trap-big-crocodile-near-tourist-gorge.html,2018-07-10,Fox News,2018.0,7.0,0
http://www.foxnews.com/world/2018/07/10/3rd-mission-underway-at-thai-cave-aims-to-rescue-all-left.html,2018-07-10,Fox News,2018.0,7.0,0
http://www.foxnews.com/world/2018/07/09/rescuers-prepare-to-move-rest-boys-coach-from-thai-cave.html,2018-07-09,Fox News,2018.0,7.0,0
http://www.foxnews.com/world/2018/07/07/thai-officials-clear-media-as-cave-rescue-seems-imminent.html,2018-07-07,Fox News,2018.0,7.0,0
http://www.foxnews.com/world/2018/07/07/woman-says-trudeau-apologized-after-encounter-in-2000.html,2018-07-07,Fox News,2018.0,7.0,0
http://www.foxnews.com/world/2018/07/07/backed-by-prince-harry-conservation-group-expands-in-africa.html,2018-07-07,Fox News,2018.0,7.0,0
http://www.foxnews.com/world/2018/07/07/latest-rescuer-says-conditions-good-for-extraction.html,2018-07-07,Fox News,2018.0,7.0,0
http://www.foxnews.com/world/2018/07/07/thai-coach-apologizes-to-parents-as-boys-write-theyre-ok.html,2018-07-07,Fox News,2018.0,7.0,0
http://www.foxnews.com/world/2018/07/06/three-social-media-stars-die-after-falling-100-feet-over-waterfall-while-hiking-police.html,2018-07-06,Fox News,2018.0,7.0,0
http://www.foxnews.com/world/2018/07/06/latest-fifa-invites-trapped-thai-boys-to-world-cup.html,2018-07-06,Fox News,2018.0,7.0,0
http://www.foxnews.com/world/2018/07/06/latest-thai-authorities-say-boat-death-toll-at-10.html,2018-07-06,Fox News,2018.0,7.0,0
http://www.foxnews.com/world/2018/07/06/thai-rescuer-in-cave-dies-from-lack-oxygen.html,2018-07-06,Fox News,2018.0,7.0,0
http://www.foxnews.com/world/2018/07/05/polish-environment-minister-too-many-species-are-protected.html,2018-07-05,Fox News,2018.0,7.0,0
http://www.foxnews.com/world/2018/07/05/latest-japans-world-cup-team-sends-boys-good-luck-wish.html,2018-07-05,Fox News,2018.0,7.0,0
http://www.foxnews.com/world/2018/07/05/iraq-bans-farming-summer-crops-as-water-crisis-grows-dire.html,2018-07-05,Fox News,2018.0,7.0,0
http://www.foxnews.com/world/2018/07/04/rescuers-race-to-drain-water-inside-thai-cave-before-rains.html,2018-07-04,Fox News,2018.0,7.0,0
http://www.foxnews.com/world/2018/07/04/archaeologists-urge-albania-to-protect-underwater-heritage.html,2018-07-04,Fox News,2018.0,7.0,0
http://www.foxnews.com/world/2018/07/04/latest-thais-work-to-install-internet-in-flooded-cave.html,2018-07-04,Fox News,2018.0,7.0,0
http://www.foxnews.com/world/2018/07/03/soccer-players-speaking-from-thai-cave-say-are-healthy.html,2018-07-03,Fox News,2018.0,7.0,0
http://www.foxnews.com/world/2018/07/03/greenpeace-activists-crash-superman-shaped-drone-into-french-nuclear-plant.html,2018-07-03,Fox News,2018.0,7.0,2
http://www.foxnews.com/world/2018/07/03/british-divers-bring-experience-to-thai-cave-drama.html,2018-07-03,Fox News,2018.0,7.0,0
http://www.foxnews.com/world/2018/07/03/latest-thai-seals-looking-after-trapped-boys-in-cave.html,2018-07-03,Fox News,2018.0,7.0,0
http://www.foxnews.com/world/2018/07/03/thai-official-says-cave-boys-may-have-to-dive-despite-danger.html,2018-07-03,Fox News,2018.0,7.0,0
http://www.foxnews.com/world/2018/07/03/ap-explains-getting-soccer-team-out-thai-cave-carefully.html,2018-07-03,Fox News,2018.0,7.0,0
http://www.foxnews.com/world/2018/07/03/ap-photos-green-grass-black-lava-at-guatemala-golf-club.html,2018-07-03,Fox News,2018.0,7.0,0
http://www.foxnews.com/world/2018/07/02/bali-volcano-hurls-lava-and-ash-airport-unaffected.html,2018-07-02,Fox News,2018.0,7.0,0
http://www.foxnews.com/world/2018/07/02/latest-expert-many-challenges-ahead-for-thai-rescuers.html,2018-07-02,Fox News,2018.0,7.0,0
http://www.foxnews.com/world/2018/07/02/divers-with-extra-supplies-advance-in-thai-cave-passageway.html,2018-07-02,Fox News,2018.0,7.0,0
http://www.foxnews.com/world/2018/07/01/thai-divers-make-little-progress-in-murky-cave-search.html,2018-07-01,Fox News,2018.0,7.0,0
http://www.foxnews.com/world/2018/06/29/in-song-and-prayer-thais-show-solidarity-with-missing-boys.html,2018-06-29,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/06/28/water-reaches-near-entrance-thai-cave-where-13-missing.html,2018-06-28,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/06/28/ethiopia-eritrea-leaders-to-meet-soon-in-surprising-thaw.html,2018-06-28,Fox News,2018.0,6.0,3
http://www.foxnews.com/world/2018/06/27/in-split-cyprus-homecoming-digs-up-old-conflicts.html,2018-06-27,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/06/27/tropical-forests-see-high-loss-tree-cover-for-2nd-year.html,2018-06-27,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/06/27/rain-high-water-complicate-cave-search-for-thai-soccer-team.html,2018-06-27,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/06/26/top-thai-official-says-flooding-complicates-cave-rescue.html,2018-06-26,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/06/25/power-line-put-in-thai-cave-to-help-search-for-missing-boys.html,2018-06-25,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/06/25/walk-or-die-algeria-abandons-13000-migrants-in-sahara.html,2018-06-25,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/06/22/african-wild-dogs-make-comeback-at-mozambican-wildlife-park.html,2018-06-22,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/06/21/nato-head-no-guarantee-trans-atlantic-alliance-will-survive.html,2018-06-21,Fox News,2018.0,6.0,3
http://www.foxnews.com/science/2018/06/21/thanks-to-china-over-100-million-metric-tons-plastic-waste-will-soon-have-nowhere-to-go.html,2018-06-21,Fox News,2018.0,6.0,4
http://www.foxnews.com/world/2018/06/21/hundreds-pray-at-indonesia-lake-as-search-for-bodies-resumes.html,2018-06-21,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/06/20/soccer-amid-ruins-world-cup-inspires-unusual-fields-in-peru.html,2018-06-20,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/06/20/giant-crackdown-against-wildlife-crime-in-92-countries.html,2018-06-20,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/06/20/burning-kites-from-gaza-damage-israeli-farms-wildlife.html,2018-06-20,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/06/18/police-say-3-polish-men-drown-in-southwest-germany.html,2018-06-18,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/06/18/israel-strikes-hamas-targets-in-bid-to-deter-burning-kites.html,2018-06-18,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/06/18/carlotta-weakens-to-tropical-depression-off-mexicos-coast.html,2018-06-18,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/06/17/guatemala-ends-search-for-people-buried-by-volcano-eruption.html,2018-06-17,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/06/17/tropical-storm-carlotta-nears-mexican-coast-by-acapulco.html,2018-06-17,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/06/16/in-south-africa-plans-for-refuge-for-pangolins-in-peril.html,2018-06-16,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/06/16/rains-from-tropical-storm-carlotta-pound-mexicos-coast.html,2018-06-16,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/06/15/new-delhi-orders-construction-halt-as-pollution-levels-soar.html,2018-06-15,Fox News,2018.0,6.0,4
http://www.foxnews.com/world/2018/06/15/tropical-storm-bud-lashes-mexicos-los-cabos-with-winds.html,2018-06-15,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/06/14/how-germany-is-turning-wasteland-into-vast-lakeside-resorts.html,2018-06-14,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/06/14/tropical-storm-bud-heads-for-resorts-at-bajas-southern-end.html,2018-06-14,Fox News,2018.0,6.0,0
http://www.foxnews.com/us/2018/06/13/nevada-wildfire-caused-by-campers-igniting-excrement-sheriff-says.html,2018-06-13,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/06/13/ap-photos-traces-life-trapped-beneath-volcanos-ash.html,2018-06-13,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/06/13/guatemala-resumes-search-for-victims-volcano-eruption.html,2018-06-13,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/06/13/2-convicted-in-germany-for-giant-swastika-on-roof-fined.html,2018-06-13,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/06/13/hurricane-bud-weakens-to-category-1-on-path-to-baja-resorts.html,2018-06-13,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/06/12/world-cup-has-divisive-legacy-for-russias-environment.html,2018-06-12,Fox News,2018.0,6.0,4
http://www.foxnews.com/world/2018/06/12/hurricane-bud-expected-to-weaken-as-it-heads-for-baja.html,2018-06-12,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/06/11/latest-category-3-hurricane-bud-heads-north-off-mexico.html,2018-06-11,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/06/11/animal-charities-to-open-european-circus-elephant-sanctuary.html,2018-06-11,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/06/11/ap-photos-long-dead-critters-animate-israels-nature-museum.html,2018-06-11,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/06/11/recent-developments-surrounding-south-china-sea.html,2018-06-11,Fox News,2018.0,6.0,4
http://www.foxnews.com/world/2018/06/11/hurricane-bud-heading-north-off-mexicos-pacific-coast.html,2018-06-11,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/06/10/tropical-storm-bud-grows-off-mexicos-pacific-coast.html,2018-06-10,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/06/09/guatemalas-volcano-fire-emits-another-hot-sediment-flow.html,2018-06-09,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/06/08/latest-new-evacuations-at-guatemalas-volcano-fire.html,2018-06-08,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/06/08/cleaning-seabed-divers-halt-carnage-ghost-nets.html,2018-06-08,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/06/08/guatemala-town-destroyed-by-volcano-thought-it-was-safe.html,2018-06-08,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/06/08/at-guatemala-volcano-families-left-on-own-to-keep-searching.html,2018-06-08,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/06/07/before-and-after-images-show-guatemala-volcanos-devastation.html,2018-06-07,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/06/07/latest-guatemala-suspends-volcano-rescue-effort.html,2018-06-07,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/06/07/rare-lynx-found-in-spain-after-being-released-in-portugal.html,2018-06-07,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/06/07/scientists-animal-activists-dont-cull-romanian-brown-bear.html,2018-06-07,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/06/07/wreckage-seen-2-days-after-plane-carrying-10-lost-in-kenya.html,2018-06-07,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/06/07/at-guatemala-volcano-weather-and-danger-hinder-search.html,2018-06-07,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/06/06/latest-guatemala-ponders-renewing-volcano-victim-hunt.html,2018-06-06,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/06/06/seasons-1st-tropical-storm-forms-in-eastern-pacific.html,2018-06-06,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/06/06/new-evacuations-near-guatemala-volcano-set-off-panic.html,2018-06-06,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/06/05/forecasters-say-hurricane-to-form-off-mexicos-pacific-coast.html,2018-06-05,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/06/05/sherpa-feared-dead-on-mount-everest-following-askfms-cryptocurrency-publicity-stunt.html,2018-06-05,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/06/05/latest-guatemala-volcano-still-rumbling-spewing-ash.html,2018-06-05,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/06/05/forest-fire-raging-in-sweden-prompts-evacuations.html,2018-06-05,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/06/05/un-plastic-bans-can-work-but-need-planning-and-enforcement.html,2018-06-05,Fox News,2018.0,6.0,4
http://www.foxnews.com/world/2018/06/05/orangutan-forest-logged-despite-indonesia-govt-vow.html,2018-06-05,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/06/05/only-few-guatemala-volcanos-dead-have-been-identified.html,2018-06-05,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/06/04/congos-virunga-park-to-remain-closed-after-deadly-attacks.html,2018-06-04,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/06/04/in-india-trio-unlikely-heroes-wages-war-on-plastic.html,2018-06-04,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/06/04/israel-to-deduct-from-palestinian-funds-for-arson-damages.html,2018-06-04,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/06/04/latest-death-toll-25-in-guatemala-volcano-eruption.html,2018-06-04,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/06/03/latest-6-people-killed-by-erupting-volcano-in-guatemala.html,2018-06-03,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/06/03/guatemala-volcano-blankets-nearby-villages-with-ash.html,2018-06-03,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/06/01/cosmetics-firm-lush-criticized-over-police-spies-campaign.html,2018-06-01,Fox News,2018.0,6.0,3
http://www.foxnews.com/world/2018/06/01/as-storm-season-starts-ap-photographer-revisits-puerto-rico.html,2018-06-01,Fox News,2018.0,6.0,0
http://www.foxnews.com/world/2018/05/31/indonesias-merapi-volcano-ejects-towering-column-ash.html,2018-05-31,Fox News,2018.0,5.0,0
http://www.foxnews.com/world/2018/05/31/africas-mountain-gorilla-population-now-exceeds-1000.html,2018-05-31,Fox News,2018.0,5.0,0
http://www.foxnews.com/world/2018/05/31/hamburg-becomes-1st-german-city-to-impose-limited-diesel-ban.html,2018-05-31,Fox News,2018.0,5.0,4
http://www.foxnews.com/world/2018/05/31/temperatures-in-europes-far-north-set-records-for-may.html,2018-05-31,Fox News,2018.0,5.0,0
http://www.foxnews.com/world/2018/05/31/puerto-rico-grid-teetering-despite-3-8-billion-repair-job.html,2018-05-31,Fox News,2018.0,5.0,2
http://www.foxnews.com/world/2018/05/29/pompeii-new-find-shows-man-crushed-trying-to-flee-eruption.html,2018-05-29,Fox News,2018.0,5.0,0
http://www.foxnews.com/world/2018/05/29/nepal-honors-9-sherpa-for-everest-successes-on-anniversary.html,2018-05-29,Fox News,2018.0,5.0,0
http://www.foxnews.com/world/2018/05/29/australia-holds-hope-mh370-will-be-found-as-last-search-ends.html,2018-05-29,Fox News,2018.0,5.0,0
http://www.foxnews.com/world/2018/05/28/eu-proposes-to-ban-plastic-straws-stirs-and-cotton-buds.html,2018-05-28,Fox News,2018.0,5.0,4
http://www.foxnews.com/world/2018/05/25/latest-as-cyclone-nears-streets-empty-in-omani-city.html,2018-05-25,Fox News,2018.0,5.0,0
http://www.foxnews.com/world/2018/05/23/powerful-cyclone-churns-in-arabian-sea-toward-oman-yemen.html,2018-05-23,Fox News,2018.0,5.0,0
http://www.foxnews.com/world/2018/05/23/greatest-everest-woman-climber-wants-to-be-inspiration.html,2018-05-23,Fox News,2018.0,5.0,0
http://www.foxnews.com/world/2018/05/22/russias-floating-nuclear-plant-heads-for-arctic-amid-geopolitical-and-environmental-concerns.html,2018-05-22,Fox News,2018.0,5.0,2
http://www.foxnews.com/world/2018/05/21/australian-state-government-proposes-protecting-wild-horses.html,2018-05-21,Fox News,2018.0,5.0,0
http://www.foxnews.com/world/2018/05/21/indonesias-most-volatile-volcano-erupts-again.html,2018-05-21,Fox News,2018.0,5.0,0
http://www.foxnews.com/world/2018/05/21/2-climbers-found-dead-on-mount-everest-nepal-officials.html,2018-05-21,Fox News,2018.0,5.0,0
http://www.foxnews.com/world/2018/05/20/record-everest-climber-returns-already-planning-next-trip.html,2018-05-20,Fox News,2018.0,5.0,0
http://www.foxnews.com/world/2018/05/19/fastest-climber-7-summits-returns-safely-from-everest.html,2018-05-19,Fox News,2018.0,5.0,0
http://www.foxnews.com/world/2018/05/18/yemen-hit-by-storms-as-rare-tropical-cyclone-sagar-nears.html,2018-05-18,Fox News,2018.0,5.0,0
http://www.foxnews.com/world/2018/05/18/official-us-pullout-from-climate-deal-dangerous-nonsense.html,2018-05-18,Fox News,2018.0,5.0,1
http://www.foxnews.com/world/2018/05/17/nearly-5000-evacuated-in-colombia-after-troubles-at-dam.html,2018-05-17,Fox News,2018.0,5.0,0
http://www.foxnews.com/world/2018/05/17/archaeologists-find-street-balconies-in-italys-pompeii.html,2018-05-17,Fox News,2018.0,5.0,0
http://www.foxnews.com/world/2018/05/17/eu-takes-6-member-states-to-court-over-air-quality.html,2018-05-17,Fox News,2018.0,5.0,4
http://www.foxnews.com/world/2018/05/16/italian-polish-climbers-win-prestigious-spanish-prize.html,2018-05-16,Fox News,2018.0,5.0,0
http://www.foxnews.com/world/2018/05/16/veteran-sherpa-guide-scales-everest-for-record-22nd-time.html,2018-05-16,Fox News,2018.0,5.0,0
http://www.foxnews.com/world/2018/05/16/small-plane-crashes-in-nepals-mountains-killing-2-pilots.html,2018-05-16,Fox News,2018.0,5.0,0
http://www.foxnews.com/world/2018/05/16/water-mismanagement-leaves-indias-silicon-valley-parched.html,2018-05-16,Fox News,2018.0,5.0,0
http://www.foxnews.com/world/2018/05/15/poland-ready-to-end-extensive-logging-in-pristine-old-forest.html,2018-05-15,Fox News,2018.0,5.0,0
http://www.foxnews.com/world/2018/05/14/volcano-in-southern-japan-erupts-no-damage.html,2018-05-14,Fox News,2018.0,5.0,0
http://www.foxnews.com/world/2018/05/14/australian-fastest-to-scale-highest-peaks-on-7-continents.html,2018-05-14,Fox News,2018.0,5.0,0
